,date,pressure,maxtemp,temparature,mintemp,dewpoint,humidity,cloud,sunshine,winddirection,windspeed,rainfall
54,55,1016.9,1.0,-3.2,-6.5,-14.5,41.9,0.0,7.4,290,6.6,0.0
55,56,1014.0,2.0,-2.0,-6.9,-12.4,46.3,50.0,3.5,270,4.6,0.0
56,57,1008.0,3.7,0.5,-2.4,-6.3,60.9,65.0,2.5,270,5.9,0.0
57,58,1010.8,6.2,1.8,-3.6,-5.4,59.1,48.0,3.6,230,10.6,0.0
58,59,1017.0,1.1,-2.8,-6.1,-15.7,37.0,0.0,8.0,290,7.0,0.0
59,60,1019.5,4.4,-1.2,-6.7,-9.8,52.9,6.0,7.3,270,5.3,0.0
60,61,1018.4,7.7,2.3,-3.2,-2.1,74.4,14.0,5.8,270,5.0,0.0
61,62,1016.3,11.2,5.3,1.7,-0.9,65.9,36.0,4.1,270,4.8,0.0
62,63,1010.7,17.2,8.8,1.2,-2.9,46.5,58.0,5.6,70,6.3,0.0
63,64,1005.6,12.9,8.1,4.7,0.1,56.5,36.0,6.4,290,5.5,0.0
64,65,1005.4,10.5,5.5,1.4,-4.5,49.9,33.0,2.6,270,4.4,0.0
65,66,1004.9,6.8,2.7,-1.6,-4.8,58.6,23.0,3.4,270,7.9,0.0
66,67,1010.5,2.2,-1.7,-4.5,-13.5,40.6,0.0,6.3,270,7.6,0.0
67,68,1010.2,3.9,-0.8,-4.8,-9.8,51.3,23.0,2.6,270,7.1,0.0
68,69,1015.8,5.7,1.1,-4.6,-10.8,42.1,0.0,6.0,270,8.3,0.0
69,70,1015.2,9.2,3.6,-3.5,-3.6,60.8,38.0,6.7,50,6.4,0.0
70,71,1007.4,7.0,5.2,3.6,1.9,79.0,81.0,0.0,230,4.2,0.0
71,72,1005.5,10.4,3.9,0.7,0.1,78.6,56.0,5.0,270,7.5,0.0
72,73,1011.2,10.4,4.7,-0.5,-5.8,52.5,8.0,6.8,250,4.5,0.0
73,74,1012.8,11.7,6.2,1.5,-7.5,37.5,6.0,8.4,270,5.9,0.0
74,75,1005.2,13.8,7.8,1.0,-3.7,47.0,76.0,2.1,50,5.5,0.0
75,76,999.0,9.3,5.6,3.6,-1.2,62.6,59.0,1.4,270,7.0,1.0
76,77,1007.1,13.4,7.5,1.6,-1.5,56.3,13.0,7.5,230,7.9,0.0
77,78,1006.2,14.9,10.6,7.4,0.7,51.1,89.0,1.5,200,7.1,0.0
78,79,1004.9,10.0,6.4,3.2,1.1,70.1,59.0,2.6,270,8.4,1.0
79,80,1010.1,13.2,7.1,1.4,-1.3,58.4,31.0,7.9,50,6.0,0.0
80,81,1008.9,12.5,8.1,4.5,-2.4,48.1,55.0,4.5,270,5.1,0.0
81,82,1011.7,16.9,10.3,3.9,-0.6,48.0,26.0,7.6,70,5.2,0.0
82,83,1003.0,10.1,7.3,4.8,3.2,75.5,95.0,0.0,250,7.6,1.0
83,84,1004.8,8.3,4.8,2.1,-8.3,37.9,0.0,8.4,270,9.3,0.0
84,85,1008.0,11.3,6.0,0.7,-4.5,46.9,9.0,7.9,270,10.0,0.0
85,86,1005.7,14.5,8.4,2.7,-0.6,56.5,8.0,8.3,250,5.8,0.0
86,87,998.4,18.9,13.1,5.1,2.4,50.6,54.0,3.7,200,12.2,1.0
87,88,990.8,15.8,11.0,6.0,4.4,65.1,98.0,1.3,160,7.0,1.0
88,89,999.9,11.9,7.7,3.8,-1.1,54.9,61.0,6.5,270,7.2,1.0
89,90,1002.7,14.2,9.0,4.6,-1.7,49.4,30.0,7.2,230,7.7,0.0
90,91,1000.7,16.5,10.7,5.7,-3.0,38.4,44.0,4.7,50,6.4,0.0
91,92,1009.7,16.1,10.3,4.2,-4.7,34.1,48.0,8.2,250,6.5,0.0
92,93,1011.1,16.9,12.1,7.3,-1.9,37.9,73.0,1.5,50,6.0,0.0
93,94,1008.9,19.0,13.4,7.6,2.4,48.1,24.0,8.7,270,5.0,0.0
94,95,1004.9,20.4,14.0,9.1,2.7,48.1,46.0,5.7,270,6.2,0.0
95,96,1003.0,13.3,9.6,6.1,-1.5,48.5,38.0,8.5,270,8.7,0.0
96,97,1008.3,14.0,8.6,3.4,-3.4,44.3,0.0,9.5,230,6.2,0.0
97,98,1007.3,12.6,8.9,5.8,-2.0,47.0,21.0,3.8,270,9.1,0.0
98,99,1012.0,17.0,9.6,4.1,-1.6,45.8,0.0,8.5,270,5.8,0.0
99,100,1005.3,19.2,11.8,5.9,0.4,47.5,69.0,4.0,270,6.3,1.0
100,101,1002.2,9.7,6.0,2.9,-4.4,50.9,39.0,8.7,270,9.5,1.0
101,102,1001.2,14.9,8.6,1.8,-0.2,54.6,0.0,8.1,230,9.2,0.0
102,103,997.3,17.0,11.9,7.0,4.7,61.8,48.0,5.7,230,6.8,0.0
103,104,998.1,18.7,13.3,9.1,6.3,64.8,78.0,3.8,270,6.0,0.0
104,105,1001.7,17.8,13.1,7.9,-0.8,38.0,79.0,4.7,270,5.7,0.0
105,106,999.9,18.1,12.0,8.8,1.1,48.0,78.0,2.2,70,6.7,1.0
106,107,1002.0,16.4,11.4,5.3,1.8,53.9,9.0,7.3,230,7.2,0.0
107,108,1003.9,19.9,12.9,7.1,6.2,64.0,33.0,5.5,230,7.2,0.0
108,109,1005.5,17.7,14.8,11.2,5.5,54.5,94.0,1.9,230,7.9,0.0
109,110,999.9,20.0,14.6,10.0,7.6,64.6,63.0,2.0,70,5.7,1.0
110,111,1001.5,23.5,15.5,9.2,7.7,60.5,64.0,7.8,70,8.8,0.0
111,112,996.7,14.9,12.1,10.0,9.4,83.9,98.0,0.0,230,6.5,1.0
112,113,994.7,11.9,9.6,7.5,4.8,72.8,54.0,1.5,230,7.8,1.0
113,114,995.8,15.4,11.0,7.2,2.3,57.4,15.0,7.4,250,9.2,0.0
114,115,1000.5,17.8,12.6,7.2,2.5,52.8,36.0,8.0,230,7.8,0.0
115,116,997.8,20.9,15.4,9.8,2.9,44.0,96.0,0.1,50,6.0,1.0
116,117,991.2,14.4,11.3,9.3,8.6,84.0,100.0,0.0,230,5.8,1.0
117,118,996.2,10.4,9.5,8.2,7.8,89.6,76.0,0.0,50,4.4,1.0
118,119,1003.8,19.2,12.4,5.8,5.6,66.1,18.0,8.1,270,7.8,0.0
119,120,1006.1,22.3,15.5,8.2,4.2,48.5,35.0,9.1,270,5.9,0.0
120,121,1000.4,18.6,14.5,11.2,6.4,59.4,69.0,6.3,230,7.6,0.0
121,122,996.9,19.2,14.2,10.8,8.9,71.1,80.0,2.8,200,8.0,0.0
122,123,1002.0,20.3,13.8,7.9,5.6,59.1,23.0,6.8,270,6.0,0.0
123,124,1003.8,22.3,15.6,9.5,5.8,54.3,6.0,9.1,270,6.0,0.0
124,125,1004.0,24.1,18.0,11.2,4.8,43.0,24.0,4.8,250,5.4,0.0
125,126,1003.9,22.2,16.9,12.9,7.2,55.0,78.0,1.1,290,5.0,1.0
126,127,1003.9,19.6,15.5,12.3,7.7,63.0,58.0,7.3,270,6.6,1.0
127,128,1005.0,19.8,14.7,9.5,5.2,53.6,0.0,8.6,230,8.3,0.0
128,129,1006.1,23.7,17.0,9.9,7.4,55.4,30.0,9.4,230,7.0,0.0
129,130,1001.4,26.4,20.1,12.6,7.3,46.3,86.0,3.5,70,5.7,0.0
130,131,995.4,18.9,14.3,10.9,10.3,78.4,100.0,0.0,70,7.3,1.0
131,132,995.5,14.2,11.7,10.1,9.4,86.4,79.0,0.0,230,6.4,1.0
132,133,997.7,18.6,14.2,9.7,9.6,74.4,81.0,0.4,50,3.7,0.0
133,134,998.3,24.5,18.1,10.2,9.8,61.3,21.0,8.7,50,5.5,0.0
134,135,1001.1,24.4,18.5,12.7,10.4,61.0,45.0,5.9,50,4.8,0.0
135,136,1001.4,22.0,16.9,13.9,10.9,67.5,80.0,2.0,250,6.1,0.0
136,137,1000.1,20.1,16.7,13.4,12.3,75.9,91.0,0.8,270,4.6,1.0
137,138,999.8,22.6,17.5,14.2,13.0,75.8,73.0,2.9,270,5.1,0.0
138,139,999.9,23.8,16.9,11.8,12.0,73.9,79.0,4.3,230,5.1,0.0
139,140,996.3,20.1,15.7,12.7,12.6,83.0,83.0,1.5,70,5.5,1.0
140,141,997.5,20.7,15.2,11.4,11.7,80.3,76.0,3.7,230,6.4,0.0
141,142,1001.7,23.0,16.7,11.2,9.9,66.1,68.0,4.3,230,4.2,0.0
142,143,1001.6,25.5,20.2,16.4,12.8,63.0,64.0,5.7,230,5.6,0.0
143,144,1002.3,25.1,19.3,15.1,15.5,79.3,75.0,2.0,230,6.0,0.0
144,145,1002.9,27.4,21.9,17.2,15.9,70.3,36.0,8.0,200,5.8,0.0
145,146,1002.6,30.5,23.9,17.9,14.7,58.8,36.0,9.2,270,4.5,0.0
146,147,998.4,27.7,22.6,18.3,14.7,62.8,85.0,1.1,50,6.3,1.0
147,148,988.7,19.1,18.0,16.7,16.8,93.0,99.0,0.0,50,5.1,1.0
148,149,993.9,23.7,18.8,14.2,12.3,67.5,34.0,8.2,230,7.4,0.0
149,150,1001.4,27.0,20.7,13.2,10.8,56.1,24.0,8.9,50,5.2,0.0
150,151,998.1,22.5,18.8,15.6,11.5,63.1,85.0,0.0,50,5.5,0.0
151,152,994.3,25.7,19.9,15.8,11.7,59.8,48.0,7.3,270,5.9,0.0
152,153,1001.1,26.3,20.4,15.1,14.2,68.8,54.0,6.5,270,5.8,1.0
153,154,1002.6,28.3,21.8,16.1,15.5,68.3,59.0,5.0,270,6.0,0.0
154,155,998.3,31.6,24.9,18.5,17.2,64.5,58.0,6.0,50,4.0,0.0
155,156,998.7,32.5,25.9,19.1,11.6,44.0,49.0,8.0,50,4.7,0.0
156,157,998.8,31.1,24.6,19.1,11.9,46.0,5.0,10.5,270,5.9,0.0
157,158,998.1,28.3,22.3,17.4,14.1,61.8,18.0,9.8,230,5.8,0.0
158,159,996.5,27.0,22.4,17.5,12.9,57.1,78.0,3.8,250,5.8,0.0
159,160,991.7,23.2,20.6,18.0,13.7,64.9,99.0,0.0,70,4.0,1.0
160,161,996.2,27.1,20.1,14.6,13.2,65.8,54.0,4.0,50,2.7,0.0
161,162,999.7,25.5,20.3,17.0,14.1,68.4,73.0,3.3,50,4.8,1.0
162,163,999.3,27.7,21.7,15.9,13.1,60.0,49.0,6.5,50,3.3,0.0
163,164,997.8,29.5,23.0,16.7,10.4,47.8,31.0,7.7,50,5.1,0.0
164,165,994.8,29.7,22.9,16.4,13.7,57.6,40.0,8.9,250,5.8,0.0
165,166,993.8,29.7,24.4,19.3,15.3,58.0,49.0,6.4,230,4.8,0.0
166,167,999.2,32.0,24.9,19.2,18.0,67.8,65.0,5.8,250,4.2,0.0
167,168,1002.4,30.0,25.3,20.2,19.1,69.4,93.0,0.8,230,4.2,0.0
168,169,1000.6,30.5,25.6,22.0,18.2,64.6,75.0,0.0,270,5.2,0.0
169,170,1000.1,33.9,26.3,21.1,16.9,57.9,19.0,7.8,270,5.1,0.0
170,171,999.7,33.3,25.9,20.0,16.4,56.9,6.0,8.9,270,5.0,0.0
171,172,997.9,32.4,26.1,20.4,18.3,64.0,55.0,1.4,270,4.2,0.0
172,173,997.2,32.5,26.0,21.5,17.1,59.3,64.0,3.7,270,5.2,0.0
173,174,995.4,28.4,23.3,20.2,18.0,73.3,98.0,0.8,50,3.4,1.0
174,175,994.6,26.8,23.0,20.6,18.7,77.1,99.0,0.1,70,3.1,1.0
175,176,995.0,28.3,24.5,20.1,18.5,69.4,70.0,2.5,70,3.8,0.0
176,177,997.0,28.1,25.1,21.7,19.5,71.3,85.0,1.5,230,5.6,0.0
177,178,994.9,26.6,24.1,22.6,21.1,83.6,100.0,0.0,70,3.8,1.0
178,179,991.4,29.3,24.3,20.4,18.7,72.9,79.0,2.4,70,4.8,1.0
179,180,994.5,33.4,25.9,19.9,17.7,63.1,8.0,9.9,70,5.4,0.0
180,181,992.3,25.7,23.3,20.9,20.5,84.1,95.0,0.0,110,4.6,1.0
181,182,995.0,26.8,23.0,20.5,19.7,82.4,70.0,1.0,230,6.6,1.0
182,183,1000.4,31.0,25.6,19.9,19.2,69.3,69.0,2.7,250,4.7,0.0
183,184,1002.9,33.0,27.2,24.1,21.7,73.4,54.0,5.1,270,5.5,0.0
184,185,1002.7,33.2,28.1,23.2,21.8,69.9,26.0,8.5,270,5.1,0.0
185,186,1002.4,33.8,28.2,23.2,21.7,68.8,50.0,5.4,50,4.3,1.0
186,187,1002.0,33.9,28.4,22.8,21.8,68.6,26.0,6.5,290,4.9,0.0
187,188,997.3,34.2,29.0,23.8,22.1,67.8,24.0,10.0,270,5.2,0.0
188,189,994.5,33.4,27.8,24.2,19.8,62.3,36.0,6.8,70,4.4,0.0
189,190,995.2,33.0,27.0,22.1,16.2,52.4,33.0,6.9,50,3.9,0.0
190,191,999.4,30.5,26.8,22.7,20.1,67.3,23.0,6.1,270,5.7,0.0
191,192,1000.1,34.0,28.7,22.8,20.0,60.9,64.0,5.6,140,4.2,0.0
192,193,994.2,27.8,23.5,20.1,21.6,88.9,100.0,0.0,200,9.5,1.0
193,194,992.3,28.7,25.4,20.1,21.7,81.0,90.0,3.3,230,9.2,1.0
194,195,994.7,31.0,25.9,23.1,21.9,79.1,93.0,1.7,230,6.4,0.0
195,196,995.1,30.6,26.6,23.0,21.1,72.1,69.0,4.3,160,4.2,0.0
196,197,997.2,30.7,26.6,24.0,21.7,74.8,85.0,1.4,230,5.1,0.0
197,198,1001.6,28.6,25.7,23.5,22.0,80.4,98.0,0.8,230,4.3,0.0
198,199,1000.2,30.5,27.0,25.1,22.7,77.6,81.0,1.4,270,5.7,0.0
199,200,997.9,32.0,27.7,25.1,23.3,77.3,76.0,0.6,230,4.0,1.0
200,201,997.5,28.9,26.8,24.7,24.1,85.1,100.0,0.0,160,4.7,1.0
201,202,998.6,31.8,27.9,25.2,24.0,80.1,88.0,1.7,230,6.5,1.0
202,203,995.1,30.6,27.5,25.6,23.6,79.1,94.0,0.3,230,8.7,0.0
203,204,988.3,26.2,24.8,23.8,23.6,92.8,99.0,0.0,230,7.5,1.0
204,205,987.3,29.5,25.5,22.7,20.9,76.6,83.0,2.7,160,3.7,0.0
205,206,989.9,31.0,26.5,22.6,20.6,71.4,60.0,6.2,270,5.2,0.0
206,207,992.5,29.7,25.8,22.3,20.8,74.6,66.0,2.4,270,3.6,0.0
207,208,993.1,31.9,26.9,21.7,20.7,69.8,29.0,5.3,50,4.8,0.0
208,209,993.8,33.1,28.3,23.5,20.7,65.9,39.0,4.9,50,3.9,0.0
209,210,993.9,31.7,28.3,25.5,21.1,65.0,98.0,0.3,70,2.3,0.0
210,211,989.8,29.7,27.5,25.2,23.3,77.9,94.0,0.6,70,4.3,1.0
211,212,987.7,26.6,23.9,20.6,19.9,78.8,96.0,0.1,70,4.8,1.0
212,213,990.0,30.4,25.3,20.7,18.7,68.0,53.0,6.6,290,4.2,1.0
213,214,997.5,31.2,26.3,21.2,20.1,69.5,33.0,5.9,230,3.7,0.0
214,215,999.3,35.1,28.8,22.6,19.5,59.8,18.0,9.1,70,2.7,0.0
215,216,1000.8,32.7,28.3,23.4,20.1,61.6,51.0,6.4,50,3.6,1.0
216,217,1002.3,29.4,24.6,21.5,21.7,84.3,95.0,1.7,70,3.6,1.0
217,218,1004.1,28.4,25.2,23.2,23.7,90.9,96.0,0.3,50,1.7,1.0
218,219,1003.5,25.5,24.4,23.5,23.0,92.0,100.0,0.0,70,2.3,1.0
219,220,1002.5,28.2,24.6,23.0,23.1,92.0,91.0,0.1,50,7.0,1.0
220,221,1002.5,31.7,26.5,22.9,23.0,81.6,81.0,1.7,50,3.0,0.0
221,222,1001.7,31.6,26.9,23.5,22.3,77.1,50.0,5.0,70,7.8,1.0
222,223,999.9,32.2,27.5,23.6,22.7,76.0,44.0,5.2,270,5.1,0.0
223,224,999.1,32.9,28.0,24.3,22.6,73.5,45.0,7.3,270,4.9,0.0
224,225,997.6,33.1,28.6,23.6,23.1,73.1,35.0,7.1,320,4.3,0.0
225,226,997.0,33.3,28.9,24.6,22.1,67.8,30.0,5.9,70,4.0,0.0
226,227,996.5,32.2,28.1,25.2,22.6,73.4,49.0,7.6,270,5.5,0.0
227,228,995.5,32.6,28.3,24.8,22.9,73.0,51.0,4.8,270,4.6,0.0
228,229,994.3,32.3,28.3,24.6,22.6,72.8,46.0,0.9,50,3.6,0.0
229,230,995.9,35.0,28.8,25.0,22.4,68.4,34.0,4.9,50,3.4,0.0
230,231,997.3,34.5,28.9,25.5,22.0,67.3,66.0,5.3,70,4.2,0.0
231,232,995.1,26.9,24.6,22.1,21.5,83.0,99.0,0.0,70,2.7,1.0
232,233,989.5,24.6,22.1,20.3,21.4,95.9,100.0,0.0,70,4.9,1.0
233,234,993.0,26.2,22.7,19.0,20.2,86.3,95.0,1.7,230,8.2,1.0
234,235,1001.9,28.8,25.1,21.7,19.9,74.5,28.0,8.2,250,6.2,0.0
235,236,1004.7,30.2,25.4,21.1,20.4,75.6,76.0,4.7,200,4.5,1.0
236,237,1003.0,25.4,23.4,21.8,21.8,88.8,100.0,0.0,140,5.5,1.0
237,238,997.7,23.5,22.0,20.6,21.1,94.8,100.0,0.0,70,3.5,1.0
238,239,997.2,23.0,22.1,21.0,21.5,96.0,100.0,0.0,70,3.7,1.0
239,240,998.4,27.1,25.0,22.5,23.2,89.8,100.0,0.0,160,3.9,1.0
240,241,1002.5,29.0,25.3,23.3,23.5,90.1,81.0,1.2,50,5.4,1.0
241,242,1002.0,32.5,28.1,23.1,22.7,74.3,51.0,8.4,70,3.7,0.0
242,243,999.8,33.6,29.1,24.2,21.3,64.3,26.0,9.4,70,3.8,0.0
243,244,988.2,27.5,25.4,22.6,22.2,83.0,83.0,0.0,70,9.2,1.0
244,245,992.0,26.0,24.4,22.8,22.3,88.4,100.0,0.0,230,12.5,1.0
245,246,999.9,30.6,26.0,23.3,22.3,81.3,80.0,4.5,230,4.4,0.0
246,247,1001.5,31.0,25.1,22.5,21.8,83.1,60.0,3.1,270,5.6,1.0
247,248,1000.2,29.9,24.9,20.1,16.5,61.3,4.0,9.5,70,5.6,0.0
248,249,997.3,28.5,23.6,18.4,16.9,66.6,29.0,8.6,270,3.6,0.0
249,250,997.0,25.9,22.5,19.8,19.0,81.4,86.0,2.5,230,5.4,1.0
250,251,1002.8,22.8,20.7,19.2,14.8,69.6,99.0,0.0,70,3.3,1.0
251,252,1006.6,23.2,20.6,18.0,16.0,75.3,100.0,0.0,70,3.3,1.0
252,253,1005.0,22.8,20.2,17.1,15.3,74.1,89.0,0.0,70,2.8,1.0
253,254,1003.0,28.0,22.2,17.1,13.4,59.1,61.0,7.9,50,2.0,0.0
254,255,1002.7,25.7,21.3,18.4,12.0,55.6,48.0,5.2,70,3.4,0.0
255,256,1004.9,24.2,20.1,16.3,10.1,52.5,81.0,1.6,70,3.9,0.0
256,257,1004.6,19.6,16.5,15.0,13.7,83.5,100.0,0.0,50,3.7,1.0
257,258,1000.9,18.1,16.7,14.8,14.6,87.6,99.0,0.0,70,3.4,1.0
258,259,993.4,18.2,17.0,15.5,15.6,91.9,100.0,0.0,70,3.5,1.0
259,260,984.1,18.1,16.0,14.5,14.7,91.9,100.0,0.0,270,8.2,1.0
260,261,995.0,23.8,19.2,14.9,12.5,65.8,14.0,6.6,250,5.4,1.0
261,262,1002.9,23.6,18.6,12.9,10.3,60.3,3.0,8.6,290,5.0,0.0
262,263,1010.0,25.7,19.1,11.9,11.8,63.3,0.0,8.7,50,1.6,0.0
263,264,1011.8,27.5,21.4,15.6,15.8,71.4,55.0,4.1,50,3.7,0.0
264,265,1010.7,25.7,21.3,18.6,14.9,68.6,79.0,1.5,70,3.1,0.0
265,266,1006.9,26.1,21.7,18.5,15.9,70.3,66.0,5.0,70,2.9,0.0
266,267,1003.9,25.9,21.0,17.5,15.9,72.9,26.0,5.7,270,3.9,0.0
267,268,1003.1,24.3,20.5,17.1,16.9,81.0,51.0,3.1,270,3.7,0.0
268,269,1004.0,24.8,20.2,17.3,14.5,71.6,43.0,4.0,270,4.0,0.0
269,270,1008.3,26.0,20.2,13.8,12.3,62.3,18.0,7.1,50,3.1,0.0
270,271,1009.4,25.9,20.6,15.4,11.5,58.6,53.0,5.7,50,2.4,0.0
271,272,1008.8,19.4,17.9,16.3,10.7,62.8,90.0,0.0,50,4.0,1.0
272,273,1005.9,26.7,20.4,13.7,9.9,52.5,18.0,8.6,50,1.9,0.0
273,274,1005.7,25.3,20.1,15.8,12.7,63.8,46.0,4.8,270,3.9,0.0
274,275,1005.0,25.5,20.3,15.5,15.0,72.4,63.0,3.9,270,3.4,0.0
275,276,1001.8,21.8,19.4,17.6,15.9,80.5,79.0,1.1,270,5.3,1.0
276,277,1003.2,21.9,17.7,14.6,8.6,58.6,5.0,8.9,290,4.1,0.0
277,278,1007.6,21.0,16.9,11.6,9.2,60.6,50.0,3.8,50,2.7,0.0
278,279,1009.9,23.4,19.0,14.9,13.5,71.5,45.0,4.3,50,3.9,0.0
279,280,1011.1,24.6,19.3,16.0,14.3,74.1,33.0,3.4,50,2.4,0.0
280,281,1009.4,26.5,20.2,14.5,13.5,67.1,8.0,7.2,50,3.2,0.0
281,282,1002.5,25.8,20.7,15.4,14.8,69.5,36.0,5.6,50,3.3,0.0
282,283,1003.0,25.3,20.2,16.1,14.9,72.6,19.0,5.1,270,4.7,0.0
283,284,1005.6,21.0,18.5,15.6,14.4,78.0,98.0,0.0,230,3.6,1.0
284,285,1006.6,16.6,15.0,12.6,13.0,88.0,100.0,0.0,320,4.0,1.0
285,286,1010.7,14.6,10.6,8.0,-1.0,45.1,58.0,6.5,290,5.0,0.0
286,287,1011.3,13.9,10.0,5.7,-2.2,43.3,45.0,6.6,250,6.6,0.0
287,288,1012.8,16.3,11.6,6.4,3.3,58.1,40.0,3.9,50,4.7,0.0
288,289,1015.6,20.2,13.7,8.4,5.6,61.1,1.0,7.5,20,4.2,0.0
289,290,1015.3,17.6,11.7,6.3,0.9,49.5,19.0,8.1,270,3.2,0.0
290,291,1008.8,15.1,12.4,8.5,8.0,75.1,88.0,0.0,50,4.5,1.0
291,292,1012.0,19.8,14.5,9.9,8.5,70.1,21.0,5.7,70,3.0,0.0
292,293,1010.3,19.2,14.2,10.1,8.4,68.5,54.0,3.3,70,3.5,0.0
